code_muni,municipio,dom_rede_esgoto,dom_total,code_state,abbrev_state
1100015,Alta Floresta D'Oeste - RO,7,7695,11,RO
1100023,Ariquemes - RO,248,34768,11,RO
1100031,Cabixi - RO,26,1967,11,RO
1100049,Cacoal - RO,21084,31917,11,RO
1100056,Cerejeiras - RO,3309,5873,11,RO
1100064,Colorado do Oeste - RO,98,5991,11,RO
1100072,Corumbiara - RO,19,2840,11,RO
1100080,Costa Marques - RO,1,4161,11,RO
1100098,Espigão D'Oeste - RO,492,10470,11,RO
1100106,Guajará-Mirim - RO,965,11803,11,RO
1100114,Jaru - RO,231,18947,11,RO
1100122,Ji-Paraná - RO,2713,45016,11,RO
1100130,Machadinho D'Oeste - RO,332,10841,11,RO
1100148,Nova Brasilândia D'Oeste - RO,379,5798,11,RO
1100155,Ouro Preto do Oeste - RO,157,13323,11,RO
1100189,Pimenta Bueno - RO,878,12351,11,RO
1100205,Porto Velho - RO,24292,151905,11,RO
1100254,Presidente Médici - RO,335,7230,11,RO
1100262,Rio Crespo - RO,NA,1250,11,RO
1100288,Rolim de Moura - RO,480,20991,11,RO
1100296,Santa Luzia D'Oeste - RO,75,2758,11,RO
1100304,Vilhena - RO,631,34975,11,RO
1100320,São Miguel do Guaporé - RO,4,7884,11,RO
1100338,Nova Mamoré - RO,2,8447,11,RO
1100346,Alvorada D'Oeste - RO,2042,4814,11,RO
1100379,Alto Alegre dos Parecis - RO,5,4036,11,RO
1100403,Alto Paraíso - RO,2,5762,11,RO
1100452,Buritis - RO,33,9905,11,RO
1100502,Novo Horizonte do Oeste - RO,6,2798,11,RO
1100601,Cacaulândia - RO,476,1483,11,RO
1100700,Campo Novo de Rondônia - RO,3,3066,11,RO
1100809,Candeias do Jamari - RO,71,7431,11,RO
1100908,Castanheiras - RO,NA,1198,11,RO
1100924,Chupinguaia - RO,17,3206,11,RO
1100940,Cujubim - RO,2,5203,11,RO
1101005,Governador Jorge Teixeira - RO,NA,2890,11,RO
1101104,Itapuã do Oeste - RO,6,2910,11,RO
1101203,Ministro Andreazza - RO,129,2383,11,RO
1101302,Mirante da Serra - RO,174,3508,11,RO
1101401,Monte Negro - RO,3,4223,11,RO
1101435,Nova União - RO,1,2230,11,RO
1101450,Parecis - RO,60,1482,11,RO
1101468,Pimenteiras do Oeste - RO,25,740,11,RO
1101476,Primavera de Rondônia - RO,1,1133,11,RO
1101484,São Felipe D'Oeste - RO,NA,1962,11,RO
1101492,São Francisco do Guaporé - RO,12,5799,11,RO
1101500,Seringueiras - RO,567,3951,11,RO
1101559,Teixeirópolis - RO,4,1582,11,RO
1101609,Theobroma - RO,5,3007,11,RO
1101708,Urupá - RO,9,3950,11,RO
1101757,Vale do Anari - RO,NA,2800,11,RO
1101807,Vale do Paraíso - RO,NA,2446,11,RO
1200013,Acrelândia - AC,30,4461,12,AC
1200054,Assis Brasil - AC,137,2426,12,AC
1200104,Brasiléia - AC,2720,8665,12,AC
1200138,Bujari - AC,107,4193,12,AC
1200179,Capixaba - AC,19,3468,12,AC
1200203,Cruzeiro do Sul - AC,1732,26737,12,AC
1200252,Epitaciolândia - AC,242,6477,12,AC
1200302,Feijó - AC,204,9366,12,AC
1200328,Jordão - AC,64,2003,12,AC
1200336,Mâncio Lima - AC,62,5678,12,AC
1200344,Manoel Urbano - AC,415,3242,12,AC
1200351,Marechal Thaumaturgo - AC,52,4321,12,AC
1200385,Plácido de Castro - AC,241,5552,12,AC
1200393,Porto Walter - AC,74,2611,12,AC
1200401,Rio Branco - AC,77859,123861,12,AC
1200427,Rodrigues Alves - AC,72,4197,12,AC
1200435,Santa Rosa do Purus - AC,31,1344,12,AC
1200450,Senador Guiomard - AC,27,6961,12,AC
