"especie";"altura_cm";"peso_kg";"tamanho_cranio_cm";"genero";"dia_semana_coleta"
"bonobo";69.2;40.1;28;"masculino";3
"bonobo";76.4;34.7;30.4;"masculino";4
"bonobo";75;42.4;25.8;"masculino";1
"bonobo";75.7;40;26.7;"masculino";4
"chimpanzé";89.4;46.4;28.4;"masculino";3
"bonobo";76.3;42.2;29.7;"masculino";2
"bonobo";75.2;45.9;28.7;"masculino";2
"chimpanzé";85;56;32;"masculino";4
"chimpanzé";82.9;43.8;30.4;"feminino";1
"chimpanzé";73;50.4;25.2;"feminino";7
"bonobo";74.4;38.5;29.5;"masculino";7
"chimpanzé";87.1;48.2;31.4;"feminino";7
"chimpanzé";77.6;43.9;29.4;"feminino";4
"chimpanzé";76.4;46.6;29.1;"feminino";5
"bonobo";73.4;35.9;28.5;"feminino";6
"bonobo";81.7;44.1;29.5;"masculino";5
"bonobo";74.5;42.4;27.1;"masculino";4
"chimpanzé";76.7;45.9;30.2;"feminino";2
"bonobo";78.7;39.8;28.5;"masculino";2
"bonobo";71.5;32.9;28.6;"masculino";2
"chimpanzé";87;52.7;33;"masculino";5
"bonobo";72.3;41.4;30.2;"masculino";3
"chimpanzé";77.7;48.3;31.9;"feminino";7
"bonobo";73.3;38.5;28.4;"masculino";3
"bonobo";67.8;35.4;25.6;"feminino";4
"chimpanzé";74.7;48.8;31.5;"feminino";1
"bonobo";71.8;38.9;28.4;"feminino";6
"chimpanzé";90.3;53.3;32;"masculino";7
"chimpanzé";80.1;45.1;29.3;"feminino";4
"chimpanzé";77.1;44.1;29.9;"feminino";3
"bonobo";76.3;36.3;27.1;"feminino";2
"bonobo";72.3;31.5;27.3;"feminino";7
"chimpanzé";84.6;55.1;34.5;"masculino";2
"bonobo";76.4;38.7;26.4;"feminino";4
"bonobo";76.6;39.2;29.1;"masculino";7
"bonobo";69.6;35.1;26.5;"masculino";6
"bonobo";78.4;34.4;27.7;"feminino";7
"bonobo";76.6;39.5;30.8;"masculino";6
"chimpanzé";84.5;53.2;32.2;"masculino";7
"bonobo";80.5;38.6;29.2;"masculino";5
"bonobo";68.9;42;29.2;"masculino";5
"chimpanzé";97.4;48.9;32.4;"masculino";4
"bonobo";72.4;41;25.6;"feminino";1
"bonobo";70.5;32.2;26.1;"feminino";1
