"koi_period","koi_time0bk","koi_duration","koi_depth","koi_model_snr","koi_impact","koi_ror","koi_srho","koi_num_transits","koi_fpflag_nt","koi_fpflag_ss","koi_fpflag_co","koi_fpflag_ec","koi_steff","koi_slogg","koi_srad","koi_smet","binary_class","id","dia","telescopio","id_formulario"
21.8634638,145.2419,3.542,871,9.9,0.502,0.027476,2.98859,48,0,0,0,0,5383,4.587,0.789,-0.1,"CONFIRMED",1,1,1,112
30.4544418,140.76863,6.896,472.1,17.3,0.929,0.0242,0.06337,45,0,0,0,0,6283,4.472,0.984,-0.3,"CONFIRMED",2,1,1,112
4.24153629,133.45522,2.971,188.1,18,0.257,0.012577,1.28761,249,0,0,0,0,5776,4.34,1.047,-0.24,"CONFIRMED",3,1,1,112
16.51410989,176.11686,4.1575,973.5,55.9,0.395,0.028718,1.66311,76,0,0,0,0,5527,4.488,0.866,-0.18,"CONFIRMED",4,1,1,112
17.83367834,181.233943,4.5112,326.9,154.5,0.013,0.016638,1.72198,75,0,0,0,0,6407,4.268,1.337,0,"CONFIRMED",5,1,1,112
37.6468519,161.46355,6.344,427.4,31,0.008,0.018542,1.31457,34,0,0,0,0,5443,3.74,2.652,0.26,"CONFIRMED",6,1,1,112
65.6480892,173.30166,5.746,588.7,22,0.949,0.028896,0.1835,20,0,0,0,0,5565,4.251,1.246,0.32,"CONFIRMED",7,1,1,112
108.593113,173.75198,7.989,338.2,24.3,0.007,0.016727,1.88819,12,0,0,0,0,5678,4.409,0.921,-0.4,"CONFIRMED",8,1,1,112
3.126861192,133.724959,1.1926,794.6,94.6,0.603,0.026786,8.96358,427,0,0,0,0,4854,3.939,1.749,0.56,"CONFIRMED",9,1,1,112
32.2964275,138.52615,4.561,472.2,17.9,0.207,0.019489,2.85696,43,0,0,0,0,5246,4.47,0.891,0.14,"CONFIRMED",10,1,1,112
178.139072,210.11802,9.654,678.8,20.3,0.042,0.023396,1.78564,8,0,0,0,0,5431,4.496,0.879,0.02,"CONFIRMED",11,1,1,112
8.98826122,138.83733,4.96,160.8,14.5,0.92,0.014058,0.04995,148,0,0,0,0,5984,4.521,0.906,-0.2,"CONFIRMED",12,1,1,112
18.6848377,136.14587,3.7965,1251.5,41.2,0.405,0.032436,2.46841,69,0,0,0,0,4156,4.712,0.545,-0.44,"CONFIRMED",13,1,1,112
18.79591276,145.821854,7.5235,2431.4,282.3,0.695,0.048106,0.18078,67,0,0,0,0,6163,4.185,1.406,-0.06,"CONFIRMED",14,1,1,112
13.19720694,171.545479,3.4872,2141.4,116.2,0.568,0.043296,1.76179,103,0,0,0,0,4954,4.462,0.885,0.44,"CONFIRMED",15,1,1,112
10.84969477,136.74432,3.474,1122.1,43.5,0.55,0.031398,1.4533,124,0,0,0,0,5251,4.592,0.778,-0.04,"CONFIRMED",16,1,1,112
12.91385906,177.27535,5.3685,487.9,40.5,0.845,0.022845,0.13675,105,0,0,0,0,6253,4.41,0.997,-0.54,"CONFIRMED",17,1,1,112
8.679037,140.90423,2.864,301.6,19.9,0.224,0.015997,3.03696,155,0,0,0,0,6117,4.42,1.027,-0.18,"CONFIRMED",18,1,1,112
22.18431824,174.597325,3.0397,1593,87.6,0.032,0.035648,7.39065,58,0,0,0,0,5157,4.5,0.818,-0.08,"CONFIRMED",19,1,1,112
37.3331165,162.90453,7.643,187.8,22.5,0.851,0.014415,0.11952,33,0,0,0,0,5623,4.079,1.588,0.36,"CONFIRMED",20,1,1,112
234.635652,172.64615,6.965,868.5,26.7,0.025,0.026459,6.32808,7,0,0,0,0,5422,4.481,0.885,0,"CONFIRMED",21,1,1,112
