id,date,primary_type,latitude,longitude,community_area,lat,lon,cluster,rank,tipo_ponto
27931,2023-12-31T04:41:00.000,HOMICIDE,41.872628083,-87.698521554,27,41.872628083,-87.698521554,1,2,top 2
27930,2023-12-30T14:21:00.000,HOMICIDE,41.880366261,-87.75558668,25,41.880366261,-87.75558668,1,2,top 2
27927,2023-12-28T02:03:00.000,HOMICIDE,41.761364334,-87.657658897,67,41.761364334,-87.657658897,2,1,top 1
27926,2023-12-27T00:51:00.000,HOMICIDE,41.805756349,-87.668540966,61,41.805756349,-87.668540966,2,1,top 1
27925,2023-12-26T21:09:00.000,HOMICIDE,41.900504318,-87.747077892,25,41.900504318,-87.747077892,1,2,top 2
28292,2023-12-25T16:30:00.000,HOMICIDE,42.007939588,-87.66414406,1,42.007939588,-87.66414406,3,6,top 6
27924,2023-12-25T12:55:00.000,HOMICIDE,41.693960671,-87.621658468,49,41.693960671,-87.621658468,2,1,top 1
27923,2023-12-23T21:58:00.000,HOMICIDE,41.735810271,-87.580546199,48,41.735810271,-87.580546199,2,1,top 1
27921,2023-12-23T15:33:00.000,HOMICIDE,41.793850419,-87.685133244,63,41.793850419,-87.685133244,2,1,top 1
27919,2023-12-22T04:32:00.000,HOMICIDE,41.755111018,-87.649009226,71,41.755111018,-87.649009226,2,1,top 1
27918,2023-12-21T00:53:00.000,HOMICIDE,41.746802165,-87.596783356,45,41.746802165,-87.596783356,2,1,top 1
27917,2023-12-20T13:25:00.000,HOMICIDE,41.736625423,-87.60656135,44,41.736625423,-87.60656135,2,1,top 1
27916,2023-12-18T20:28:00.000,HOMICIDE,41.91029099,-87.769134183,25,41.91029099,-87.769134183,1,2,top 2
27915,2023-12-18T17:43:00.000,HOMICIDE,41.866331725,-87.666379171,28,41.866331725,-87.666379171,4,3,top 3
27913,2023-12-18T17:10:00.000,HOMICIDE,41.774977636,-87.682170473,66,41.774977636,-87.682170473,2,1,top 1
27914,2023-12-18T14:25:00.000,HOMICIDE,41.774977636,-87.682170473,66,41.774977636,-87.682170473,2,1,top 1
27910,2023-12-17T11:32:00.000,HOMICIDE,41.876225829,-87.721791324,26,41.876225829,-87.721791324,1,2,top 2
27911,2023-12-16T20:12:00.000,HOMICIDE,41.75929907,-87.612693997,69,41.75929907,-87.612693997,2,1,top 1
27909,2023-12-15T02:55:00.000,HOMICIDE,41.826410642,-87.639910776,60,41.826410642,-87.639910776,2,1,top 1
