ano,mes_nome,focos,mes_num,data
1999,Janeiro,188,1,1999-01-01
1999,Fevereiro,469,2,1999-02-01
1999,Março,82,3,1999-03-01
1999,Abril,382,4,1999-04-01
1999,Maio,856,5,1999-05-01
1999,Junho,1757,6,1999-06-01
1999,Julho,3465,7,1999-07-01
1999,Agosto,11933,8,1999-08-01
1999,Setembro,14455,9,1999-09-01
1999,Outubro,8354,10,1999-10-01
1999,Novembro,1434,11,1999-11-01
1999,Dezembro,475,12,1999-12-01
2000,Janeiro,266,1,2000-01-01
2000,Fevereiro,89,2,2000-02-01
2000,Março,114,3,2000-03-01
2000,Abril,253,4,2000-04-01
2000,Maio,914,5,2000-05-01
2000,Junho,2556,6,2000-06-01
2000,Julho,2530,7,2000-07-01
2000,Agosto,6995,8,2000-08-01
2000,Setembro,10117,9,2000-09-01
2000,Outubro,9038,10,2000-10-01
2000,Novembro,1149,11,2000-11-01
2000,Dezembro,372,12,2000-12-01
2001,Janeiro,182,1,2001-01-01
2001,Fevereiro,109,2,2001-02-01
2001,Março,69,3,2001-03-01
2001,Abril,304,4,2001-04-01
2001,Maio,713,5,2001-05-01
2001,Junho,3606,6,2001-06-01
2001,Julho,3242,7,2001-07-01
2001,Agosto,9541,8,2001-08-01
2001,Setembro,16623,9,2001-09-01
2001,Outubro,7702,10,2001-10-01
2001,Novembro,1834,11,2001-11-01
2001,Dezembro,609,12,2001-12-01
2002,Janeiro,368,1,2002-01-01
2002,Fevereiro,355,2,2002-02-01
2002,Março,391,3,2002-03-01
2002,Abril,777,4,2002-04-01
2002,Maio,1884,5,2002-05-01
2002,Junho,4210,6,2002-06-01
2002,Julho,7462,7,2002-07-01
2002,Agosto,17815,8,2002-08-01
2002,Setembro,30105,9,2002-09-01
2002,Outubro,16744,10,2002-10-01
2002,Novembro,5273,11,2002-11-01
2002,Dezembro,1802,12,2002-12-01
2003,Janeiro,654,1,2003-01-01
2003,Fevereiro,587,2,2003-02-01
2003,Março,472,3,2003-03-01
2003,Abril,1052,4,2003-04-01
2003,Maio,2475,5,2003-05-01
2003,Junho,7079,6,2003-06-01
2003,Julho,10477,7,2003-07-01
2003,Agosto,10140,8,2003-08-01
2003,Setembro,29227,9,2003-09-01
2003,Outubro,15008,10,2003-10-01
2003,Novembro,4763,11,2003-11-01
2003,Dezembro,2179,12,2003-12-01
2004,Janeiro,452,1,2004-01-01
2004,Fevereiro,376,2,2004-02-01
2004,Março,773,3,2004-03-01
2004,Abril,970,4,2004-04-01
2004,Maio,2975,5,2004-05-01
2004,Junho,7047,6,2004-06-01
2004,Julho,8804,7,2004-07-01
2004,Agosto,12473,8,2004-08-01
2004,Setembro,33509,9,2004-09-01
2004,Outubro,15148,10,2004-10-01
2004,Novembro,8243,11,2004-11-01
2004,Dezembro,2792,12,2004-12-01
2005,Janeiro,587,1,2005-01-01
2005,Fevereiro,869,2,2005-02-01
2005,Março,536,3,2005-03-01
2005,Abril,1071,4,2005-04-01
2005,Maio,1968,5,2005-05-01
2005,Junho,3383,6,2005-06-01
2005,Julho,7454,7,2005-07-01
2005,Agosto,14627,8,2005-08-01
2005,Setembro,24521,9,2005-09-01
2005,Outubro,23550,10,2005-10-01
2005,Novembro,5251,11,2005-11-01
2005,Dezembro,1930,12,2005-12-01
2006,Janeiro,1001,1,2006-01-01
2006,Fevereiro,413,2,2006-02-01
2006,Março,498,3,2006-03-01
2006,Abril,584,4,2006-04-01
2006,Maio,1650,5,2006-05-01
2006,Junho,3415,6,2006-06-01
2006,Julho,6442,7,2006-07-01
2006,Agosto,11705,8,2006-08-01
2006,Setembro,16566,9,2006-09-01
2006,Outubro,7524,10,2006-10-01
2006,Novembro,5274,11,2006-11-01
2006,Dezembro,1808,12,2006-12-01
2007,Janeiro,755,1,2007-01-01
2007,Fevereiro,402,2,2007-02-01
2007,Março,1118,3,2007-03-01
2007,Abril,964,4,2007-04-01
2007,Maio,2924,5,2007-05-01
2007,Junho,7051,6,2007-06-01
2007,Julho,10548,7,2007-07-01
2007,Agosto,35678,8,2007-08-01
2007,Setembro,49980,9,2007-09-01
2007,Outubro,22008,10,2007-10-01
2007,Novembro,4939,11,2007-11-01
2007,Dezembro,1551,12,2007-12-01
2008,Janeiro,421,1,2008-01-01
2008,Fevereiro,321,2,2008-02-01
2008,Março,339,3,2008-03-01
2008,Abril,590,4,2008-04-01
2008,Maio,1320,5,2008-05-01
2008,Junho,2632,6,2008-06-01
2008,Julho,5229,7,2008-07-01
2008,Agosto,8643,8,2008-08-01
2008,Setembro,15477,9,2008-09-01
2008,Outubro,17024,10,2008-10-01
2008,Novembro,5486,11,2008-11-01
2008,Dezembro,1452,12,2008-12-01
2009,Janeiro,676,1,2009-01-01
2009,Fevereiro,403,2,2009-02-01
2009,Março,461,3,2009-03-01
2009,Abril,448,4,2009-04-01
2009,Maio,836,5,2009-05-01
2009,Junho,1641,6,2009-06-01
2009,Julho,4224,7,2009-07-01
2009,Agosto,6492,8,2009-08-01
2009,Setembro,9851,9,2009-09-01
2009,Outubro,5526,10,2009-10-01
2009,Novembro,4195,11,2009-11-01
2009,Dezembro,1146,12,2009-12-01
2010,Janeiro,717,1,2010-01-01
2010,Fevereiro,751,2,2010-02-01
2010,Março,883,3,2010-03-01
2010,Abril,1438,4,2010-04-01
2010,Maio,2508,5,2010-05-01
2010,Junho,6443,6,2010-06-01
2010,Julho,12359,7,2010-07-01
2010,Agosto,35226,8,2010-08-01
2010,Setembro,52491,9,2010-09-01
2010,Outubro,14419,10,2010-10-01
2010,Novembro,4623,11,2010-11-01
2010,Dezembro,1536,12,2010-12-01
2011,Janeiro,456,1,2011-01-01
2011,Fevereiro,321,2,2011-02-01
2011,Março,308,3,2011-03-01
2011,Abril,703,4,2011-04-01
2011,Maio,1376,5,2011-05-01
2011,Junho,3378,6,2011-06-01
2011,Julho,5366,7,2011-07-01
2011,Agosto,11387,8,2011-08-01
2011,Setembro,26468,9,2011-09-01
2011,Outubro,7656,10,2011-10-01
2011,Novembro,2889,11,2011-11-01
2011,Dezembro,1374,12,2011-12-01
2012,Janeiro,421,1,2012-01-01
2012,Fevereiro,478,2,2012-02-01
2012,Março,764,3,2012-03-01
2012,Abril,1092,4,2012-04-01
2012,Maio,1896,5,2012-05-01
2012,Junho,3817,6,2012-06-01
2012,Julho,9362,7,2012-07-01
2012,Agosto,22737,8,2012-08-01
2012,Setembro,30053,9,2012-09-01
2012,Outubro,16515,10,2012-10-01
2012,Novembro,1830,11,2012-11-01
2012,Dezembro,1635,12,2012-12-01
2013,Janeiro,475,1,2013-01-01
2013,Fevereiro,604,2,2013-02-01
2013,Março,613,3,2013-03-01
2013,Abril,706,4,2013-04-01
2013,Maio,1418,5,2013-05-01
2013,Junho,2684,6,2013-06-01
2013,Julho,4761,7,2013-07-01
