"pais";"codigo";"regiao";"pib_per_capita";"expectativa_vida";"fecundidade";"mortalidade_infantil";"escolaridade"
"Afghanistan";"AFG";"Asia";1983.8126;66.0346;4.84;5.48651;2.51479
"Albania";"ALB";"Europe";20501.646;79.6019;1.348;0.9357239;10.175311
"Algeria";"DZA";"Africa";15159.324;76.261;2.766;2.1978614;7.416387
"Andorra";"AND";"Europe";64631.297;84.0406;1.082;0.2598875;11.61
"Angola";"AGO";"Africa";8597.539;64.617;5.124;5.0513434;5.956173
"Antigua and Barbuda";"ATG";"North America";28712.396;77.5976;1.578;0.9320599;11.6475
"Argentina";"ARG";"South America";27230.396;77.3947;1.5;0.971163;11.184582
"Armenia";"ARM";"Asia";19402.752;75.6827;1.714;1.0043284;11.344978
"Australia";"AUS";"Oceania";60684.96;83.9228;1.638;0.3664211;12.87
"Austria";"AUT";"Europe";64536.207;81.9559;1.317;0.33255216;12.361465
"Azerbaijan";"AZE";"Asia";21310.738;74.4286;1.67;1.8742527;11.07
"Bahamas";"BHS";"North America";35221.27;74.5518;1.373;1.2658277;12.814419
"Bahrain";"BHR";"Asia";57819.906;81.2835;1.824;0.859988;11.13
"Bangladesh";"BGD";"Asia";8242.398;74.6723;2.163;3.0606623;6.79
"Barbados";"BRB";"North America";20865.016;76.1782;1.708;1.0096521;9.928357
"Belarus";"BLR";"Europe";27782.438;74.4339;1.208;0.24486847;12.335373
"Belgium";"BEL";"Europe";63042.01;82.115;1.379;0.37454152;12.689651
"Belize";"BLZ";"North America";12371.009;73.5656;2.007;1.2753645;8.76229
"Benin";"BEN";"Africa";3721.2126;60.7738;4.556;7.7182684;3.1942
"Bhutan";"BTN";"Asia";14610.296;72.9753;1.462;1.7988441;5.8357944
"Bolivia";"BOL";"South America";11616.157;68.5814;2.547;1.6428412;10.021223
"Bosnia and Herzegovina";"BIH";"Europe";19804.918;77.8504;1.486;0.60370785;10.97
"Botswana";"BWA";"Africa";18932.48;69.1631;2.732;3.4570682;10.478
"Brazil";"BRA";"South America";19079.812;75.8482;1.619;1.4424723;8.425372
"Brunei";"BRN";"Asia";76616.7;75.3266;1.747;1.0052339;9.282
"Bulgaria";"BGR";"Europe";33073.68;75.6363;1.749;0.5927308;11.454531
"Burkina Faso";"BFA";"Africa";2486.2068;61.092;4.186;7.735903;2.26655
"Burundi";"BDI";"Africa";1033.0094;63.6511;4.878;4.868367;3.4739356
"Cambodia";"KHM";"Asia";6695.292;70.6675;2.579;1.9125644;5.1971
"Cameroon";"CMR";"Africa";4875.251;63.6996;4.322;6.697603;6.5741806
"Canada";"CAN";"North America";58088.38;82.6302;1.349;0.537095;13.87
"Cape Verde";"CPV";"Africa";9228.461;76.0587;1.522;1.1596662;6.0900393
"Central African Republic";"CAF";"Africa";1132.6764;57.4077;6.012;9.260569;3.9894314
"Chad";"TCD";"Africa";2433.5332;55.0692;6.12;10.058143;2.3349848
"Chile";"CHL";"South America";29600.418;81.1667;1.167;0.6857538;11.291054
"China";"CHN";"Asia";22687.252;77.9529;0.999;0.6122859;8.036181
"Colombia";"COL";"South America";18406.625;77.7246;1.645;1.190977;9.031582
"Comoros";"COM";"Africa";3508.1587;66.7768;3.878;4.018592;6.00684
"Congo";"COG";"Africa";6172.2876;65.772;4.157;4.0295877;8.322645
"Costa Rica";"CRI";"North America";26378.541;80.7995;1.33;1.0146965;8.844752
"Cote d'Ivoire";"CIV";"Africa";6520.899;61.9438;4.283;6.6543345;4.87
"Croatia";"HRV";"Europe";41320.258;78.5803;1.468;0.509126;12.095121
"Cyprus";"CYP";"Europe";51674.902;81.648;1.389;0.45615888;12.557372
"Czechia";"CZE";"Europe";47558.41;79.8341;1.448;0.2643798;12.963182
"Democratic Republic of Congo";"COD";"Africa";1559.338;61.895;6.051;9.131433;7.378561
"Denmark";"DNK";"Europe";68993.91;81.9328;1.511;0.38559574;13.027321
"Djibouti";"DJI";"Africa";6510.6787;65.9865;2.609;5.0505786;3.9504151
"Dominica";"DMA";"North America";18278.225;71.1325;1.484;3.5411103;10.12509
"Dominican Republic";"DOM";"North America";23282.49;73.7201;2.243;3.147608;9.444526
"East Timor";"TLS";"Asia";4331.078;67.6894;2.707;4.9150467;6.2265806
"Ecuador";"ECU";"South America";14321.165;77.3924;1.823;1.3046442;8.97
"Egypt";"EGY";"Africa";16691.387;71.6335;2.75;2.2929885;10.13612
"El Salvador";"SLV";"North America";11404.334;72.0993;1.775;1.0430447;7.3
"Equatorial Guinea";"GNQ";"Africa";15302.151;63.7071;4.081;7.0442915;8.281327
"Estonia";"EST";"Europe";41284.773;79.1535;1.35;0.20999968;13.562166
"Eswatini";"SWZ";"Africa";10181.504;64.1227;2.753;4.6213794;8.6852
"Ethiopia";"ETH";"Africa";2757.9592;67.315;3.989;5.148841;2.4025397
"Fiji";"FJI";"Oceania";13194.805;67.3157;2.281;2.915694;10.37097
"Finland";"FIN";"Europe";56051.77;81.9102;1.28;0.23554301;12.979626
"France";"FRA";"Europe";54296.723;83.3253;1.639;0.43221757;11.765668
"Gabon";"GAB";"Africa";18701.422;68.3367;3.647;3.3782296;9.686
"Gambia";"GMB";"Africa";2963.5986;65.8603;4.006;4.3842406;4.674727
"Georgia";"GEO";"Asia";22590.53;74.4965;1.81;0.8790611;12.7
"Germany";"DEU";"Europe";63140.195;81.3777;1.441;0.37065655;14.296371
"Ghana";"GHA";"Africa";6808.5376;65.4979;3.397;3.7185779;7.10721
"Greece";"GRC";"Europe";36700.51;81.8568;1.334;0.38907605;11.553857
"Grenada";"GRD";"North America";17093.156;75.2052;1.487;1.8298601;9.4464
"Guatemala";"GTM";"North America";12380.371;72.6023;2.311;2.1171446;5.8473
"Guinea";"GIN";"Africa";3904.824;60.7405;4.217;9.495005;2.486339
"Guinea-Bissau";"GNB";"Africa";2660.8145;64.0849;3.836;6.9696064;3.673035
