"","especie","ilha","tamanho_bico_mm","profundidade_bico_mm","nadadeira_mm","peso_g","sexo"
"135","Adelie","Dream",38.1,17.6,187,3425,"femea"
"38","Adelie","Dream",42.2,18.5,180,3550,"femea"
"212","Chinstrap","Dream",45.6,19.4,194,3525,"femea"
"87","Adelie","Dream",36.3,19.5,190,3800,"macho"
"305","Gentoo","Biscoe",44.9,13.8,212,4750,"femea"
"65","Adelie","Biscoe",36.4,17.1,184,2850,"femea"
"18","Adelie","Torgersen",42.5,20.7,197,4500,"macho"
"207","Chinstrap","Dream",42.5,17.3,187,3350,"femea"
"277","Gentoo","Biscoe",43.8,13.9,208,4300,"femea"
"86","Adelie","Dream",41.3,20.3,194,3550,"macho"
"241","Gentoo","Biscoe",50.2,14.3,218,5700,"macho"
"324","Gentoo","Biscoe",49.1,15,228,5500,"macho"
"108","Adelie","Biscoe",38.2,20,190,3900,"macho"
"262","Gentoo","Biscoe",49.6,16,225,5700,"macho"
"97","Adelie","Dream",38.1,18.6,190,3700,"femea"
"140","Adelie","Dream",39.7,17.9,193,4250,"macho"
"317","Gentoo","Biscoe",49.4,15.8,216,4925,"macho"
"156","Chinstrap","Dream",45.4,18.7,188,3525,"femea"
"164","Chinstrap","Dream",51.7,20.3,194,3775,"macho"
"188","Chinstrap","Dream",47.5,16.8,199,3900,"femea"
"292","Gentoo","Biscoe",46.4,15.6,221,5000,"macho"
"23","Adelie","Biscoe",35.9,19.2,189,3800,"femea"
"22","Adelie","Biscoe",37.7,18.7,180,3600,"macho"
"185","Chinstrap","Dream",42.5,16.7,187,3350,"femea"
"296","Gentoo","Biscoe",48.6,16,230,5800,"macho"
"94","Adelie","Dream",39.6,18.1,186,4450,"macho"
"144","Adelie","Dream",40.7,17,190,3725,"macho"
"263","Gentoo","Biscoe",45.3,13.7,210,4300,"femea"
"47","Adelie","Dream",41.1,19,182,3425,"macho"
"233","Gentoo","Biscoe",45.5,13.7,214,4650,"femea"
"71","Adelie","Torgersen",33.5,19,190,3600,"femea"
"213","Chinstrap","Dream",51.9,19.5,206,3950,"macho"
"274","Gentoo","Biscoe",50.1,15,225,5000,"macho"
"295","Gentoo","Biscoe",46.4,15,216,4700,"femea"
"308","Gentoo","Biscoe",51.3,14.2,218,5300,"macho"
"145","Adelie","Dream",37.3,16.8,192,3000,"femea"
"101","Adelie","Biscoe",35,17.9,192,3725,"femea"
"58","Adelie","Biscoe",40.6,18.8,193,3800,"macho"
"200","Chinstrap","Dream",49,19.6,212,4300,"macho"
"189","Chinstrap","Dream",47.6,18.3,195,3850,"femea"
"342","Gentoo","Biscoe",50.4,15.7,222,5750,"macho"
"264","Gentoo","Biscoe",49.6,15,216,4750,"macho"
"122","Adelie","Torgersen",37.7,19.8,198,3500,"macho"
"272","Gentoo","Biscoe",48.5,14.1,220,5300,"macho"
"309","Gentoo","Biscoe",47.5,14,212,4875,"femea"
"232","Gentoo","Biscoe",49,16.1,216,5550,"macho"
"62","Adelie","Biscoe",41.3,21.1,195,4400,"macho"
"134","Adelie","Dream",37.5,18.5,199,4475,"macho"
"113","Adelie","Biscoe",39.7,17.7,193,3200,"femea"
"291","Gentoo","Biscoe",47.7,15,216,4750,"femea"
"304","Gentoo","Biscoe",50,15.9,224,5350,"macho"
"215","Chinstrap","Dream",45.7,17,195,3650,"femea"
"194","Chinstrap","Dream",46.2,17.5,187,3650,"femea"
"148","Adelie","Dream",36.6,18.4,184,3475,"femea"
"90","Adelie","Dream",38.9,18.8,190,3600,"femea"
"93","Adelie","Dream",34,17.1,185,3400,"femea"
"152","Adelie","Dream",41.5,18.5,201,4000,"macho"
"322","Gentoo","Biscoe",55.9,17,228,5600,"macho"
"45","Adelie","Dream",37,16.9,185,3000,"femea"
"265","Gentoo","Biscoe",50.5,15.9,222,5550,"macho"
"302","Gentoo","Biscoe",52.5,15.6,221,5450,"macho"
"57","Adelie","Biscoe",39,17.5,186,3550,"femea"
"174","Chinstrap","Dream",48.5,17.5,191,3400,"macho"
"306","Gentoo","Biscoe",50.8,17.3,228,5600,"macho"
"34","Adelie","Dream",40.9,18.9,184,3900,"macho"
"290","Gentoo","Biscoe",50.7,15,223,5550,"macho"
"177","Chinstrap","Dream",46.7,17.9,195,3300,"femea"
